owner_name,view,share,reply,like,coin,favorite,danmaku,videos,duration,fan
Ido影视特效,3154654,1792,4395,6375,1245,10561,5011,182,40038,8976
亮哥讲电影,3153032,4279,8668,19770,11297,23918,9200,133,63545,22049
墨琦大人有学问,3130719,8184,12596,26011,38994,24340,21261,74,32657,46377
电影来搞事,3123146,1203,9094,5860,788,5098,6519,129,20148,7173
BuriedAlien,3107076,19897,20643,33529,23950,28943,17371,28,13422,85560
女王泡面,3091158,12692,15652,26557,93140,65184,122966,14,40901,209339
云儿妹妹丶,3082109,1071,2822,9587,2421,12997,3442,67,17675,5464
神神气气神神气气ZYT,3079140,7645,6986,4304,12651,69157,342553,17,53383,47606
怪咖电影,3073512,922,7369,11864,6740,9288,8170,55,17922,49461
追剧有毒,3054474,221,3522,2509,155,1056,903,83,8687,647
喵了个电影,3049069,1751,6628,20663,11272,12843,7817,78,34593,24790
不装逼电影君,3044750,7044,7124,15037,32150,11408,13434,59,21319,46080
电影头条,3034064,3048,7171,18101,18064,19279,14207,80,32313,49252
小龙说大片,3018212,1823,6133,6252,3470,12348,5522,110,32403,20006
菇菇说过,3017922,1707,7833,66893,59231,26472,14451,146,88527,40363
夏夜柚子树,3006303,3024,6872,15213,8801,16430,9905,43,21694,46475
萌萌哒脑洞菌,2982515,6807,11459,5861,28522,40581,20036,94,38722,78334
嘿小二来壶茶,2975731,6549,9709,35306,25206,19030,11574,112,49720,41083
神经局局长,2951451,7286,7263,23650,14504,24467,10151,31,11104,55800
小神媽媽爱上仙,2928561,2549,8515,41949,25926,33997,7981,54,25282,44802
狂阿弥爷,2924198,16236,15875,53481,67774,43054,21241,58,38432,103122
抢先聊大片,2891407,3106,10360,7082,2164,20226,3979,266,32603,20577
Sir说电影,2866868,1510,4603,7713,1676,12948,4154,66,20214,9711
思翰影视,2856343,1669,9131,5024,2505,15882,6733,250,66527,11037
晓落讲电影,2849745,634,3182,5186,776,9118,2582,89,17252,4889
南国小豆豆,2833097,4298,10487,13659,7393,11118,9556,14,5565,150740
巍哥奇谈,2819186,382,4549,12262,2507,4923,2741,81,16689,12981
神烦XP,2813728,10373,9923,58629,55618,48239,10694,11,7229,361316
