owner_mid,fan
301386085,5772
4100372,33
337176712,10703
302661476,1162
318793552,11
318554599,12
382733187,51
32291424,44268
9647719,23255
269409174,2120
398587570,542
358298803,15
17547328,43
21087348,14
388419222,52
6759814,370
14721783,0
1950383,195
110692372,0
402780907,7
20407203,8718
377926741,136
27404517,4
47482862,166
88065681,22
170047173,1285
169879130,0
29986952,2413
187671902,360
18530509,91
260057065,10
293842203,2
30388707,29
26264192,5
14141603,55
18891278,0
271873076,340
235972689,12
342255128,2
384902571,368
144985779,973
25912977,197
352346787,276
7518633,3979
14662949,1412
311557061,0
395191024,2914
12204787,43
64511055,443
383504748,12
108163062,2
381728748,118
278834198,27
260905253,2957
56104926,49
12201162,34
88414422,16
315897795,9068
6457437,363
403772911,1
92381588,0
108506100,1
33741950,240
403794735,3
384149289,4975
13384726,51
32359657,5
103835435,266
29252192,192
117782968,133
21813187,41
40829249,137
179659767,36
385525137,1
314025277,0
15168760,4241
19607961,777
319751089,5485
399063241,6
264311217,6
307395869,1
396787453,11
386077734,109
22080599,3656
4747756,96
21217458,16
351800484,23
17743338,86
305567273,2831
39931259,13
243766906,3
352156671,0
24087575,532
40902698,1
402552027,1
251823623,369
298645141,3437
11033966,14649
11186746,102
40169940,2
27662926,148
375221547,66
259231194,3
2183168,14847
179001597,6531
387074102,28
5338155,4
341486235,5
373926141,589
4954628,1242
374374588,79
118333,40
279343989,7944
67765372,9081
402447038,19
11334205,8
22432431,7
402536174,1
105792862,720
359863895,131
182573384,320
266036757,45604
388652544,3
316562899,5
6692778,1588
3885463,1
383717820,2
400952075,6
694830,3549
88592117,7
18552122,2422
86205398,23
22983703,1007
90186705,9
386238608,920
402478791,2
15744128,237
36852155,6680
291257091,143
16048035,18
138129883,2
235466081,15
403846180,1
5798717,1592
403888083,3
27885869,3375
356143899,9
294371684,180
398814499,11
61856541,4
30430102,744
34846703,4
26571997,0
94720227,2
325720119,2
254572789,11
403543314,0
20377752,6
302629364,1
160506654,5
383484560,186
369708626,8
21120586,557
346653924,48
396592563,28
395885457,0
87209654,11
71545129,75
90376666,2
393352947,382
145149047,238387
19399600,3523
258580508,9
18975710,564
270387582,6701
11895826,12
100403067,123
